Chromosome	Start	Stop	Length	Strand	Gene Symbol	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
11	72615102	72615125	23	-	hsa-miR-139-5p	0	43	0	32	71	1	0	67
16	69933142	69933163	21	+	hsa-miR-140-3p	2	217	18	116	346	39	5	232
16	69933103	69933125	22	+	hsa-miR-140-5p	0	852	11	449	1091	2	2	882
12	6964155	6964177	22	+	hsa-miR-141-3p	6	172	7	34	158	10	42	107
12	6964113	6964135	22	+	hsa-miR-141-5p	0	17	0	10	17	1	0	16
17	58331245	58331268	23	-	hsa-miR-142-3p	35	27	16	25	22	25	26	59
17	58331283	58331304	21	-	hsa-miR-142-5p	12	4	3	1	6	9	6	6
5	149428978	149428999	21	+	hsa-miR-143-3p	5	12	24	2	5	3	28	11
X	63786055	63786076	21	-	hsa-miR-1468-5p	0	16	3	1	4	0	0	5
5	160485372	160485394	22	+	hsa-miR-146a-5p	54	51	16	76	35	9	45	99
10	102436520	102436543	23	+	hsa-miR-146b-5p	1	54	5	9	42	3	0	25
15	45433098	45433119	21	+	hsa-miR-147b-3p	0	12	0	8	6	0	0	22
15	45433061	45433083	22	+	hsa-miR-147b-5p	1	3	0	1	3	0	0	8
7	25949922	25949944	22	-	hsa-miR-148a-3p	6	9324	91	6882	12966	37	15	14773
7	25949960	25949982	22	-	hsa-miR-148a-5p	0	6	2	19	9	5	0	31
12	54337278	54337300	22	+	hsa-miR-148b-3p	16	8848	125	4625	11132	56	12	10176
2	240456015	240456038	23	+	hsa-miR-149-5p	0	159	30	437	442	19	2	734
19	49500832	49500854	22	-	hsa-miR-150-5p	10	11	1	12	7	5	0	14
8	140732587	140732608	21	-	hsa-miR-151a-3p	7	1566	138	1589	2172	48	1	3342
8	140732623	140732644	21	-	hsa-miR-151a-5p	0	97	4	93	127	5	0	187
17	48037174	48037195	21	-	hsa-miR-152-3p	11	402	6	73	557	0	2	242
2	219294126	219294148	22	-	hsa-miR-153-3p	0	23	0	12	24	0	0	11
14	101059805	101059827	22	+	hsa-miR-154-3p	0	0	0	16	0	0	0	35
14	101059769	101059791	22	+	hsa-miR-154-5p	1	1	0	199	1	1	0	357
21	25573983	25574007	24	+	hsa-miR-155-5p	10	2	58	277	17	22	1	763
13	50049130	50049152	22	-	hsa-miR-15a-3p	0	23	0	16	43	1	0	41
13	50049167	50049189	22	-	hsa-miR-15a-5p	4	1997	5	1278	3502	3	0	2431
3	160404645	160404667	22	+	hsa-miR-15b-3p	0	1502	48	2258	1951	17	3	4628
3	160404607	160404629	22	+	hsa-miR-15b-5p	11	4203	90	6813	6645	24	3	10735
13	50048985	50049007	22	-	hsa-miR-16-1-3p	0	109	4	59	177	3	1	134
3	160404797	160404819	22	+	hsa-miR-16-2-3p	0	75	4	102	91	2	0	205
3	160404754	160404776	22	+	hsa-miR-16-5p	192	69160	2078	68453	102110	572	85	123867
13	91350655	91350677	22	+	hsa-miR-17-3p	0	60	6	88	65	5	1	171
13	91350618	91350641	23	+	hsa-miR-17-5p	3	1704	52	1798	1943	15	2	4443
9	124692518	124692540	22	+	hsa-miR-181a-2-3p	7	1588	4	19	1584	4	4	28
1	198859069	198859091	22	-	hsa-miR-181a-3p	3	176	0	0	332	1	1	0
1	198859108	198859131	23	-	hsa-miR-181a-5p	5	64	0	0	57	0	3	2
9	124693763	124693783	20	+	hsa-miR-181b-2-3p	0	82	0	5	69	0	0	4
1	198858887	198858908	21	-	hsa-miR-181b-3p	1	16	0	0	36	0	0	0
1	198858925	198858948	23	-	hsa-miR-181b-5p	20	45	0	1	51	0	0	0
19	13874763	13874785	22	+	hsa-miR-181c-3p	0	49	1	4	30	0	0	12
19	13874725	13874747	22	+	hsa-miR-181c-5p	0	3	0	1	6	1	0	1
19	13874910	13874933	23	+	hsa-miR-181d-5p	0	25	1	3	31	0	0	4
7	129770406	129770427	21	-	hsa-miR-182-3p	0	19	0	12	24	0	0	19
7	129770447	129770471	24	-	hsa-miR-182-5p	11	5632	107	2259	9064	25	26	4473
7	129774928	129774950	22	-	hsa-miR-183-3p	0	17	0	9	31	0	0	9
7	129774967	129774989	22	-	hsa-miR-183-5p	5	2130	88	1076	3309	19	19	2053
22	20033188	20033210	22	+	hsa-miR-185-3p	0	5	1	0	10	3	0	1
22	20033153	20033175	22	+	hsa-miR-185-5p	13	1166	27	610	1721	43	5	1071
1	71067642	71067664	22	-	hsa-miR-186-3p	0	16	2	16	30	0	0	39
1	71067681	71067703	22	-	hsa-miR-186-5p	14	1792	205	1676	2243	132	8	3399
X	50003556	50003577	21	+	hsa-miR-188-3p	0	30	0	8	23	0	0	24
X	50003517	50003538	21	+	hsa-miR-188-5p	1	111	0	27	108	0	0	73
13	91350797	91350820	23	+	hsa-miR-18a-3p	0	30	13	41	47	6	0	87
13	91350756	91350779	23	+	hsa-miR-18a-5p	1	1022	25	1137	986	9	0	2730
X	134170042	134170064	22	-	hsa-miR-18b-3p	0	7	0	0	12	0	0	0
X	134170084	134170107	23	-	hsa-miR-18b-5p	0	590	1	12	964	0	1	28
15	62824008	62824029	21	+	hsa-miR-190a-3p	0	3	0	10	8	0	0	8
15	62823971	62823993	22	+	hsa-miR-190a-5p	0	59	4	34	107	0	0	83
1	154193712	154193734	22	-	hsa-miR-190b-5p	2	86	1	21	76	1	0	53
3	49020631	49020653	22	-	hsa-miR-191-3p	2	375	20	193	414	14	0	324
3	49020672	49020695	23	-	hsa-miR-191-5p	162	18852	1683	11141	22767	741	90	17165
11	64891159	64891181	22	-	hsa-miR-192-3p	0	53	0	1	58	0	0	5
11	64891203	64891224	21	-	hsa-miR-192-5p	4	3261	12	362	4273	1	1	810
17	31560050	31560072	22	+	hsa-miR-193a-3p	0	6	0	13	9	1	0	14
17	31560016	31560038	22	+	hsa-miR-193a-5p	2	49	17	99	47	18	2	149
16	14304017	14304039	22	+	hsa-miR-193b-3p	0	20	0	28	36	2	0	36
16	14303980	14304002	22	+	hsa-miR-193b-5p	0	41	9	54	46	7	0	65
11	64891368	64891390	22	-	hsa-miR-194-3p	0	22	0	2	13	0	0	1
1	220118206	220118228	22	-	hsa-miR-194-5p	0	197	1	49	336	2	1	66
17	7017628	7017650	22	-	hsa-miR-195-3p	0	5	7	13	10	0	0	29
17	7017667	7017688	21	-	hsa-miR-195-5p	1	69	1	64	54	0	0	96
12	53991799	53991821	22	+	hsa-miR-196a-3p	0	8	0	2	11	0	0	5
12	53991762	53991784	22	+	hsa-miR-196a-5p	1	3625	90	2448	4472	36	3	4742
7	27169528	27169550	22	-	hsa-miR-196b-5p	0	4	15	395	5	2	3	756
1	109598940	109598962	22	+	hsa-miR-197-3p	3	75	41	137	84	46	0	206
1	109598901	109598924	23	+	hsa-miR-197-5p	3	1	3	0	0	3	1	0
1	172144554	172144576	22	-	hsa-miR-199a-3p	19	9562	13	52	11205	3	17	115
1	172144592	172144615	23	-	hsa-miR-199a-5p	6	1844	1	2	2135	0	3	0
9	128244745	128244767	22	-	hsa-miR-199b-3p	27	9356	6	54	11247	1	14	118
9	128244783	128244806	23	-	hsa-miR-199b-5p	1	590	6	230	888	1	0	528
13	91350939	91350962	23	+	hsa-miR-19a-3p	4	5715	37	5947	7712	5	2	16397
13	91350904	91350926	22	+	hsa-miR-19a-5p	0	3	0	5	3	0	0	4
13	91351207	91351230	23	+	hsa-miR-19b-1-5p	0	24	3	42	44	2	0	93
13	91351245	91351268	23	+	hsa-miR-19b-3p	9	25242	70	10555	44420	16	4	25822
1	1167160	1167182	22	+	hsa-miR-200b-3p	0	1	0	4	2	2	3	0
12	6963742	6963765	23	+	hsa-miR-200c-3p	5	71	9	31	71	4	15	72
12	6963703	6963725	22	+	hsa-miR-200c-5p	0	6	0	6	5	0	0	3
14	104117469	104117491	22	+	hsa-miR-203a-3p	7	40	78	1642	84	449	2	2972
9	70810031	70810053	22	-	hsa-miR-204-5p	0	5	0	0	8	0	0	1
1	209432166	209432188	22	+	hsa-miR-205-5p	5	0	14	0	0	278	0	1
13	91351108	91351130	22	+	hsa-miR-20a-3p	0	29	2	35	31	0	0	75
13	91351072	91351095	23	+	hsa-miR-20a-5p	22	11592	432	15268	13284	111	11	29128
X	134169813	134169835	22	-	hsa-miR-20b-3p	0	5	0	0	18	0	0	0
X	134169850	134169873	23	-	hsa-miR-20b-5p	60	59686	46	1425	105066	13	22	2313
17	59841311	59841332	21	+	hsa-miR-21-3p	7	1830	115	2075	2650	151	1	4278
17	59841273	59841295	22	+	hsa-miR-21-5p	300	128259	2006	95348	160525	739	83	195472
11	568112	568134	22	-	hsa-miR-210-3p	1	175	34	2051	247	36	0	3468
15	59171229	59171250	21	-	hsa-miR-2116-5p	0	4	0	3	1	0	0	3
17	2050290	2050311	21	-	hsa-miR-212-3p	0	6	0	0	7	0	0	1
17	2050328	2050351	23	-	hsa-miR-212-5p	0	9	0	3	15	1	0	8
1	172138816	172138838	22	-	hsa-miR-214-3p	4	47	0	0	34	0	2	0
1	172138857	172138879	22	-	hsa-miR-214-5p	1	109	0	0	157	0	0	0
4	20528299	20528320	21	+	hsa-miR-218-5p	1	665	0	5	1107	0	0	12
9	128392676	128392699	23	+	hsa-miR-219b-3p	0	4	0	2	0	0	0	9
9	128392634	128392656	22	+	hsa-miR-219b-5p	0	3	1	5	7	0	0	9
17	1713914	1713936	22	-	hsa-miR-22-3p	7	176	41	533	216	34	3	862
17	1713952	1713974	22	-	hsa-miR-22-5p	0	10	0	41	15	0	0	60
X	45746180	45746203	23	-	hsa-miR-221-3p	145	7161	2201	26449	11119	1964	33	44758
X	45746221	45746243	22	-	hsa-miR-221-5p	3	3	9	27	6	15	1	38
X	45747036	45747057	21	-	hsa-miR-222-3p	4	213	49	223	256	41	1	457
X	45747073	45747095	22	-	hsa-miR-222-5p	0	26	53	41	26	48	1	73
X	66018937	66018959	22	+	hsa-miR-223-3p	16	0	8	1	0	9	10	0
X	151958628	151958653	25	-	hsa-miR-224-5p	9	737	31	776	958	10	1	1261
5	93620748	93620772	24	-	hsa-miR-2277-5p	4	18	1	0	35	2	0	13
9	94809977	94809999	22	+	hsa-miR-2278	0	7	0	1	12	0	0	4
2	207109999	207110021	22	-	hsa-miR-2355-3p	0	6	2	10	6	1	0	29
19	13836595	13836616	21	-	hsa-miR-23a-3p	33	3150	140	1898	4242	134	24	3532
19	13836630	13836652	22	-	hsa-miR-23a-5p	1	2	1	9	4	3	0	6
9	95085265	95085288	23	+	hsa-miR-23b-3p	12	414	66	819	630	62	11	1114
9	95085227	95085249	22	+	hsa-miR-23b-5p	0	1	3	13	14	3	0	29
9	95086064	95086086	22	+	hsa-miR-24-3p	17	2410	71	1887	2843	31	4	3311
7	100093571	100093593	22	-	hsa-miR-25-3p	60	22461	1224	19989	33444	551	42	40385
7	100093610	100093631	21	-	hsa-miR-25-5p	11	82	185	75	124	219	4	102
1	98045271	98045293	22	-	hsa-miR-2682-3p	0	8	0	0	2	0	0	0
3	37969452	37969474	22	+	hsa-miR-26a-1-3p	0	47	6	75	102	5	0	168
12	57824620	57824642	22	-	hsa-miR-26a-2-3p	0	234	7	144	328	2	1	244
3	37969413	37969435	22	+	hsa-miR-26a-5p	31	5908	163	2781	7931	91	12	4807
2	218402692	218402713	21	+	hsa-miR-26b-3p	0	10	0	11	12	0	0	8
2	218402657	218402678	21	+	hsa-miR-26b-5p	17	1460	53	686	1673	32	10	1459
19	13836447	13836468	21	-	hsa-miR-27a-3p	38	8689	162	5913	10002	50	11	11222
19	13836487	13836509	22	-	hsa-miR-27a-5p	6	146	42	342	211	40	2	622
9	95085505	95085526	21	+	hsa-miR-27b-3p	25	5081	278	9591	8237	97	36	16098
9	95085463	95085485	22	+	hsa-miR-27b-5p	0	8	4	18	8	4	0	44
3	188688834	188688856	22	+	hsa-miR-28-3p	10	1250	128	863	1668	27	6	1611
3	188688794	188688816	22	+	hsa-miR-28-5p	1	30	1	15	32	0	0	22
20	58817626	58817648	22	-	hsa-miR-296-3p	1	57	27	128	80	33	0	222
20	58817661	58817682	21	-	hsa-miR-296-5p	2	22	11	82	28	2	1	88
14	101023832	101023854	22	+	hsa-miR-299-3p	0	1	4	279	1	3	0	632
14	101023800	101023822	22	+	hsa-miR-299-5p	2	0	6	243	2	9	1	328
7	130876748	130876770	22	-	hsa-miR-29a-3p	199	50794	1293	82282	94339	360	45	158728
7	130876786	130876808	22	-	hsa-miR-29a-5p	1	26	2	40	46	1	0	72
7	130877507	130877531	24	-	hsa-miR-29b-1-5p	0	135	16	301	243	15	0	553
1	207802492	207802514	22	-	hsa-miR-29b-2-5p	0	7	0	1	10	0	0	6
1	207802450	207802473	23	-	hsa-miR-29b-3p	26	13255	120	17378	19432	28	6	34305
1	207801865	207801887	22	-	hsa-miR-29c-3p	18	7283	40	3793	11585	15	7	8793
1	207801903	207801925	22	-	hsa-miR-29c-5p	0	77	1	48	125	0	0	76
17	59151149	59151172	23	-	hsa-miR-301a-3p	1	2545	18	1137	2717	6	5	2419
17	59151187	59151209	22	-	hsa-miR-301a-5p	2	397	20	165	366	4	0	375
22	21653025	21653048	23	+	hsa-miR-301b-3p	1	151	0	53	121	0	0	111
22	21652990	21653012	22	+	hsa-miR-301b-5p	4	42	3	13	29	1	0	16
17	64500817	64500838	21	-	hsa-miR-3064-5p	0	3	1	1	3	0	0	7
17	81125926	81125949	23	+	hsa-miR-3065-3p	0	53	0	5	108	0	0	11
17	81125886	81125909	23	+	hsa-miR-3065-5p	0	120	0	8	235	0	1	18
6	71403554	71403576	22	-	hsa-miR-30a-3p	23	7974	3	82	8574	1	9	121
6	71403595	71403617	22	-	hsa-miR-30a-5p	25	6821	8	24	6093	4	11	76
8	134800532	134800554	22	-	hsa-miR-30b-3p	0	7	0	43	7	1	0	59
8	134800570	134800592	22	-	hsa-miR-30b-5p	5	1062	30	2086	1459	26	4	4654
1	40757339	40757361	22	+	hsa-miR-30c-1-3p	0	156	5	93	255	4	0	166
6	71376964	71376986	22	-	hsa-miR-30c-2-3p	3	697	0	10	668	0	2	5
1	40757300	40757323	23	+	hsa-miR-30c-5p	6	3409	11	377	3132	6	2	742
8	134804879	134804901	22	-	hsa-miR-30d-3p	0	83	1	184	122	3	1	613
8	134804919	134804941	22	-	hsa-miR-30d-5p	6	388	47	411	497	11	14	739
1	40754413	40754435	22	+	hsa-miR-30e-3p	7	2598	97	1334	4089	46	3	3093
1	40754371	40754393	22	+	hsa-miR-30e-5p	4	1808	15	417	2032	6	4	973
9	21512158	21512179	21	-	hsa-miR-31-5p	7	0	1	0	2	2	4	0
1	23044310	23044330	20	+	hsa-miR-3115	0	10	0	5	5	0	0	12
2	189133044	189133066	22	-	hsa-miR-3129-3p	0	49	0	0	76	0	0	1
2	189133082	189133104	22	-	hsa-miR-3129-5p	0	82	0	1	106	0	0	0
2	219058725	219058748	23	-	hsa-miR-3131	0	3	0	1	3	0	0	3
3	69049004	69049027	23	-	hsa-miR-3136-5p	0	15	2	4	13	0	0	12
4	152489336	152489358	22	-	hsa-miR-3140-3p	0	2	0	5	3	0	0	4
6	27147629	27147654	25	+	hsa-miR-3143	0	9	0	4	14	0	0	6
8	95072925	95072947	22	+	hsa-miR-3150a-5p	1	1	0	4	5	0	0	3
10	96064369	96064391	22	-	hsa-miR-3157-5p	0	11	1	16	13	1	0	17
11	66934476	66934498	22	-	hsa-miR-3163	0	2	0	4	1	0	0	5
14	27633246	27633270	24	-	hsa-miR-3171	0	2	0	0	1	0	0	9
14	95137961	95137983	22	-	hsa-miR-3173-5p	0	3	1	2	5	0	0	5
16	2136076	2136095	19	-	hsa-miR-3180	1	0	1	7	6	6	1	6
16	14911281	14911303	22	+	hsa-miR-3180-3p	1	6	4	10	5	5	0	16
16	14911237	14911262	25	+	hsa-miR-3180-5p	0	1	5	5	3	3	1	6
16	83508349	83508366	17	+	hsa-miR-3182	128	60	54	50	64	325	46	65
20	62064812	62064829	17	+	hsa-miR-3195	102	0	39	1	0	62	39	0
9	109046231	109046253	22	-	hsa-miR-32-3p	0	109	4	83	174	2	0	207
9	109046272	109046294	22	-	hsa-miR-32-5p	1	548	16	490	908	4	0	960
22	30731610	30731632	22	+	hsa-miR-3200-3p	0	66	4	29	95	1	0	56
8	22244975	22244997	22	-	hsa-miR-320a-3p	17	374	167	359	483	149	5	521
1	116671787	116671809	22	+	hsa-miR-320b	3	11	7	4	14	9	0	7
18	21683559	21683579	20	+	hsa-miR-320c	2	9	3	4	11	6	1	13
13	40727828	40727847	19	-	hsa-miR-320d	3	11	1	1	8	4	0	3
14	101025782	101025803	21	+	hsa-miR-323a-3p	2	0	3	404	0	3	0	904
14	101056269	101056291	22	+	hsa-miR-323b-3p	2	1	2	125	0	2	0	232
17	7223308	7223331	23	-	hsa-miR-324-3p	4	251	26	100	221	21	0	167
17	7223343	7223365	22	-	hsa-miR-324-5p	3	137	6	56	150	7	1	111
11	75335108	75335128	20	-	hsa-miR-326	0	5	0	1	3	2	0	3
16	67202327	67202349	22	-	hsa-miR-328-3p	0	16	5	32	23	8	0	30
14	101026834	101026856	22	+	hsa-miR-329-3p	1	0	1	62	0	0	0	104
14	101026797	101026820	23	+	hsa-miR-329-5p	0	0	0	3	0	1	0	9
19	45639009	45639032	23	-	hsa-miR-330-3p	0	10	0	3	25	0	1	7
19	45639049	45639071	22	-	hsa-miR-330-5p	1	31	0	15	27	2	0	22
12	95308480	95308501	21	+	hsa-miR-331-3p	2	89	5	108	98	3	1	165
12	95308445	95308467	22	+	hsa-miR-331-5p	0	5	1	15	11	2	0	20
7	130496162	130496184	22	+	hsa-miR-335-3p	0	16	3	60	31	3	0	105
7	130496126	130496149	23	+	hsa-miR-335-5p	1	300	28	1197	474	13	0	1857
14	100874553	100874575	22	+	hsa-miR-337-3p	1	0	0	52	0	0	0	113
14	100874515	100874536	21	+	hsa-miR-337-5p	5	0	8	434	0	3	0	682
17	81125887	81125909	22	-	hsa-miR-338-3p	0	281	0	1	369	0	0	3
7	1022955	1022978	23	-	hsa-miR-339-3p	0	80	10	129	135	11	1	220
