microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)	FC 95% lower limit (EV CL1-5 vs. EV CL1-0)	FC 95% upper limit (EV CL1-5 vs. EV CL1-0)
hsa-miR-199b-3p	9	128244745	128244767	22	-	2.84E+04	1.11E+04	7.47E+02	3.55E+03	2.33E-05	8.03E-04	3.51E-02	-4.83E+00	-2.85E+01	1.28E+02	3.65E+03	-7.14E+01	-1.14E+01
hsa-miR-200c-3p	12	6963742	6963765	23	+	5.93E+03	4.60E+03	1.93E+02	7.42E+02	2.35E-02	6.11E-02	1.05E-01	-3.26E+00	-9.55E+00	2.70E+02	2.58E+03	-4.16E+01	-2.19E+00
hsa-miR-203a-3p	14	104117469	104117491	22	+	3.62E+04	2.80E+04	9.20E+02	4.53E+03	5.56E-03	2.07E-02	2.19E+01	4.45E+00	2.19E+01	1.52E+04	6.97E+02	4.73E+00	1.01E+02
hsa-miR-20a-5p	13	91351072	91351095	23	+	9.22E+04	2.03E+04	9.19E+03	1.15E+04	2.20E-03	1.05E-02	3.58E+00	1.84E+00	3.58E+00	1.04E+04	2.91E+03	1.89E+00	6.79E+00
hsa-miR-20b-5p	X	134169850	134169873	23	-	1.79E+05	8.89E+04	5.65E+03	2.24E+04	1.25E-04	1.58E-03	1.71E-01	-2.55E+00	-5.85E+00	1.15E+03	6.72E+03	-1.07E+01	-3.20E+00
hsa-miR-21-3p	17	59841311	59841332	21	+	2.44E+04	9.41E+03	2.07E+03	3.04E+03	2.59E-04	2.41E-03	1.21E+01	3.59E+00	1.21E+01	6.56E+03	5.43E+02	4.79E+00	3.05E+01
hsa-miR-221-3p	X	45746180	45746203	23	-	3.04E+05	1.22E+05	2.44E+04	3.80E+04	4.85E-05	1.02E-03	7.36E+00	2.88E+00	7.36E+00	9.68E+04	1.31E+04	4.12E+00	1.32E+01
hsa-miR-222-3p	X	45747036	45747057	21	-	5.97E+03	2.55E+03	4.81E+02	7.47E+02	7.49E-04	4.39E-03	5.50E+00	2.46E+00	5.50E+00	2.07E+03	3.76E+02	2.63E+00	1.15E+01
hsa-miR-25-3p	7	100093571	100093593	22	-	2.03E+05	3.96E+04	2.25E+04	2.54E+04	4.69E-04	3.08E-03	3.78E+00	1.92E+00	3.78E+00	3.69E+04	9.78E+03	2.16E+00	6.61E+00
hsa-miR-25-5p	7	100093610	100093631	21	-	2.24E+04	1.36E+04	5.54E+02	2.81E+03	4.71E-04	3.08E-03	8.00E+00	3.00E+00	8.00E+00	9.81E+03	1.23E+03	3.56E+00	1.80E+01
hsa-miR-27a-5p	19	13836487	13836509	22	-	6.37E+03	2.49E+03	5.50E+02	7.96E+02	9.73E-03	3.05E-02	3.00E+00	1.59E+00	3.00E+00	1.92E+03	6.41E+02	1.46E+00	6.18E+00
hsa-miR-30a-3p	6	71403554	71403576	22	-	2.24E+04	9.49E+03	6.36E+02	2.80E+03	2.71E-06	1.87E-04	2.99E-02	-5.06E+00	-3.34E+01	7.96E+01	2.66E+03	-6.71E+01	-1.66E+01
hsa-miR-30a-5p	6	71403595	71403617	22	-	2.00E+04	8.12E+03	6.74E+02	2.50E+03	5.20E-05	1.02E-03	8.25E-02	-3.60E+00	-1.21E+01	2.54E+02	3.08E+03	-2.53E+01	-5.82E+00
hsa-miR-30e-3p	1	40754413	40754435	22	+	1.82E+04	3.46E+03	2.01E+03	2.27E+03	7.63E-04	4.39E-03	3.53E+00	1.82E+00	3.53E+00	3.00E+03	8.50E+02	2.03E+00	6.14E+00
hsa-miR-320a-3p	8	22244975	22244997	22	-	1.98E+04	9.28E+03	1.21E+03	2.47E+03	1.22E-03	6.23E-03	4.28E+00	2.10E+00	4.28E+00	7.34E+03	1.71E+03	2.19E+00	8.38E+00
hsa-miR-339-5p	7	1022990	1023013	23	-	9.60E+03	4.17E+03	7.90E+02	1.20E+03	7.38E-05	1.27E-03	9.99E+00	3.32E+00	9.99E+00	3.20E+03	3.20E+02	4.97E+00	2.01E+01
hsa-miR-340-5p	5	180015361	180015383	22	-	1.50E+04	3.80E+03	1.03E+03	1.88E+03	1.70E-02	4.70E-02	2.66E+00	1.41E+00	2.66E+00	5.55E+02	2.09E+02	1.14E+00	6.18E+00
hsa-miR-34a-5p	1	9151735	9151757	22	-	6.03E+03	2.90E+03	1.94E+02	7.53E+02	8.32E-03	2.74E-02	1.49E-01	-2.74E+00	-6.70E+00	2.85E+02	1.91E+03	-2.13E+01	-2.10E+00
hsa-miR-361-5p	X	85903681	85903703	22	-	1.31E+04	3.33E+03	1.34E+03	1.64E+03	3.51E-03	1.51E-02	4.89E+00	2.29E+00	4.89E+00	2.32E+03	4.74E+02	2.07E+00	1.16E+01
hsa-miR-363-3p	X	134169382	134169404	22	-	3.50E+04	1.46E+04	1.69E+03	4.38E+03	5.44E-03	2.07E-02	1.84E-01	-2.44E+00	-5.42E+00	7.02E+02	3.80E+03	-1.41E+01	-2.08E+00
hsa-miR-375-3p	2	219001648	219001670	22	-	1.01E+04	9.51E+03	8.72E+01	1.26E+03	3.31E-02	7.36E-02	2.25E-02	-5.47E+00	-4.44E+01	1.10E+02	4.86E+03	-6.14E+02	-3.21E+00
hsa-miR-423-3p	17	30117131	30117154	23	+	1.68E+04	9.72E+03	9.19E+02	2.10E+03	4.95E-03	2.01E-02	5.73E+00	2.52E+00	5.73E+00	6.54E+03	1.14E+03	2.03E+00	1.62E+01
hsa-miR-423-5p	17	30117095	30117118	23	+	2.94E+04	1.34E+04	1.92E+03	3.67E+03	2.78E-02	6.73E-02	2.58E+00	1.37E+00	2.58E+00	9.66E+03	3.75E+03	1.22E+00	5.44E+00
hsa-miR-4443	3	48196572	48196589	17	+	7.47E+03	3.68E+03	8.03E+01	9.34E+02	4.30E-04	3.08E-03	5.44E-02	-4.20E+00	-1.84E+01	1.92E+02	3.53E+03	-6.06E+01	-5.58E+00
hsa-miR-4454	4	163093607	163093627	20	-	3.83E+03	1.84E+03	5.67E+01	4.79E+02	7.36E-03	2.54E-02	8.02E-02	-3.64E+00	-1.25E+01	1.41E+02	1.76E+03	-8.52E+01	-1.82E+00
hsa-miR-501-3p	X	50009772	50009794	22	+	1.96E+03	9.20E+02	6.24E+01	2.45E+02	1.78E-02	4.80E-02	2.01E-01	-2.32E+00	-4.99E+00	1.59E+02	7.94E+02	-1.75E+01	-1.42E+00
hsa-miR-532-5p	X	50003167	50003189	22	+	2.26E+04	5.59E+03	2.28E+03	2.83E+03	2.68E-03	1.19E-02	4.95E+00	2.31E+00	4.95E+00	4.14E+03	8.36E+02	2.03E+00	1.21E+01
hsa-miR-574-3p	4	38868092	38868114	22	+	1.04E+04	3.36E+03	1.01E+03	1.30E+03	1.23E-02	3.70E-02	3.56E+00	1.83E+00	3.56E+00	2.78E+03	7.80E+02	1.26E+00	1.00E+01
hsa-miR-7-5p	9	83969811	83969835	24	-	4.23E+04	9.51E+03	4.44E+03	5.29E+03	1.89E-02	5.02E-02	2.90E+00	1.54E+00	2.90E+00	6.48E+03	2.23E+03	1.01E+00	8.33E+00
hsa-miR-7704	2	176188843	176188862	19	+	3.69E+05	2.17E+05	2.86E+02	4.61E+04	1.66E-03	8.17E-03	4.54E-02	-4.46E+00	-2.20E+01	8.01E+03	1.76E+05	-1.06E+02	-4.56E+00
hsa-miR-9-5p	1	156420392	156420415	23	-	3.39E+04	8.64E+03	2.60E+03	4.24E+03	1.14E-03	6.05E-03	6.07E+00	2.60E+00	6.07E+00	2.62E+03	4.32E+02	2.69E+00	1.37E+01
hsa-miR-92a-3p	13	91351361	91351383	22	+	5.47E+04	1.65E+04	5.75E+03	6.83E+03	1.84E-04	1.95E-03	4.48E+00	2.16E+00	4.48E+00	1.41E+04	3.15E+03	2.65E+00	7.56E+00
hsa-miR-93-3p	7	100093777	100093799	22	-	3.43E+03	1.25E+03	2.25E+02	4.29E+02	2.99E-02	6.87E-02	2.73E+00	1.45E+00	2.73E+00	1.14E+03	4.18E+02	1.02E+00	7.28E+00
hsa-miR-93-5p	7	100093815	100093838	23	-	3.18E+05	7.54E+04	3.67E+04	3.97E+04	2.56E-02	6.31E-02	2.25E+00	1.17E+00	2.25E+00	5.85E+04	2.60E+04	1.09E+00	4.63E+00
hsa-miR-99a-5p	21	16539101	16539123	22	+	1.71E+04	6.36E+03	3.79E+02	2.13E+03	1.28E-04	1.58E-03	7.67E-02	-3.70E+00	-1.30E+01	1.74E+02	2.27E+03	-3.02E+01	-5.61E+00
hsa-miR-99b-5p	19	51692618	51692640	22	+	4.79E+04	1.46E+04	4.79E+03	5.99E+03	3.34E-04	2.71E-03	3.63E+00	1.86E+00	3.63E+00	1.34E+04	3.68E+03	2.21E+00	5.96E+00
